trial,step,reward, epsilon 
   2235,   30,  24834,  0.025184109989586586
   2236,   37,  37170,  0.02513630441513465
   2237,   37,  37770,  0.025088589587306268
   2238,   37,  37770,  0.025040965333842244
   2239,   71,  112327,  0.024950977683889406
   2240,   38,  39330,  0.02490236947060142
   2241,   37,  38370,  0.024855098708273564
   2242,   37,  37770,  0.024807917677365596
   2243,   39,  42694,  0.024758350186826733
   2244,   35,  34059,  0.02471382412880428
   2245,   61,  84211,  0.024637327991860067
   2246,   35,  34959,  0.024593019583286555
   2247,   35,  35259,  0.02454879086010227
   2248,   51,  64780,  0.024485045315333197
   2249,   37,  38670,  0.024438566735893015
   2250,   38,  39030,  0.024390956775297453
   2251,   37,  37770,  0.02434465679882191
   2252,   36,  35913,  0.024299659693962968
   2253,   37,  37170,  0.02425353302158357
   2254,   52,  66400,  0.024189344641521598
   2255,   38,  39930,  0.024142220202610715
   2256,   38,  39330,  0.02409518756911148
   2257,   45,  52162,  0.0240398309383043
   2258,   61,  84511,  0.023965420997131795
   2259,   61,  87811,  0.02389124137535544
   2260,   37,  38670,  0.0238458899804167
   2261,   72,  111365,  0.023759008964257606
   2262,   36,  36513,  0.023715094333357525
   2263,   37,  37770,  0.023670077308405806
   2264,   37,  37770,  0.02362514573673153
   2265,   37,  37470,  0.02358029945612356
   2266,   38,  39330,  0.023534361527763448
   2267,   35,  33459,  0.023492036722637128
   2268,   37,  37470,  0.023447443115357132
   2269,   60,  84943,  0.023376035580499804
   2270,   59,  81781,  0.023306010812795968
   2271,   37,  38070,  0.02326177032800022
   2272,   33,  30660,  0.02322225792568244
   2273,   37,  38070,  0.02317817642426479
   2274,   77,  125860,  0.023087955326163284
   2275,   38,  39930,  0.023042976557351266
   2276,   37,  37770,  0.02299923537563542
   2277,   35,  34359,  0.02295787295523665
   2278,   76,  120487,  0.02286965287147266
   2279,   38,  39030,  0.022825099388291276
   2280,   30,  25734,  0.0227897470055971
   2281,   34,  33108,  0.022749898829448573
   2282,   27,  21135,  0.022718070460428577
   2283,   27,  20235,  0.022686286621060436
   2284,   38,  39030,  0.022642090362590753
   2285,   37,  37470,  0.02259911016051
   2286,   57,  77275,  0.022533666044762393
   2287,   36,  37113,  0.02249201625925702
   2288,   36,  36513,  0.022450443456548376
   2289,   36,  37113,  0.02240894749434639
   2290,   29,  22998,  0.022375358431466565
   2291,   38,  39030,  0.022331767907327153
   2292,   58,  78925,  0.022265984625453327
   2293,   38,  39030,  0.02222260717774556
   2294,   38,  39330,  0.02217931423575363
   2295,   36,  35913,  0.022138319411443192
   2296,   29,  23898,  0.02210513599651698
   2297,   39,  41494,  0.02206096880225192
   2298,   38,  39330,  0.02201799075584168
   2299,   59,  81781,  0.02195203411906837
   2300,   36,  36813,  0.02191145938477305
   2301,   37,  37470,  0.021869866098236337
   2302,   37,  37770,  0.021828351765887686
   2303,   39,  41194,  0.021784737600696314
   2304,   40,  43062,  0.02174012351831259
   2305,   54,  69655,  0.021680418817598097
   2306,   29,  23298,  0.021647921755828064
   2307,   37,  37770,  0.021606828727896737
   2308,   36,  35913,  0.021566892049143253
   2309,   37,  38970,  0.021525952835330313
   2310,   47,  56850,  0.021474351205199586
   2311,   37,  37170,  0.021433587656447154
   2312,   33,  30060,  0.021397180602011772
   2313,   35,  34359,  0.021358699358398493
   2314,   72,  110765,  0.021280880266487112
